idna_subject,checker_type,destination,source,tested_at,session_id
998532.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:36.543290,9eccd806894ae0aea5a13634
998534.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:37.549260,9eccd806894ae0aea5a13634
9985365.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:37.750001,9eccd806894ae0aea5a13634
9984458.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:38.006933,9eccd806894ae0aea5a13634
998536.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:38.372287,9eccd806894ae0aea5a13634
998539.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:39.568442,9eccd806894ae0aea5a13634
998537.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:39.569351,9eccd806894ae0aea5a13634
998542.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:39.917639,9eccd806894ae0aea5a13634
998561.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:40.208377,9eccd806894ae0aea5a13634
9986365.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:41.032762,9eccd806894ae0aea5a13634
9985w.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:41.304625,9eccd806894ae0aea5a13634
998562.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:41.380468,9eccd806894ae0aea5a13634
9986879.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:42.655856,9eccd806894ae0aea5a13634
99853.biz,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:42.762199,9eccd806894ae0aea5a13634
9986p.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:43.115389,9eccd806894ae0aea5a13634
998713.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:43.408816,9eccd806894ae0aea5a13634
9986f.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:43.686897,9eccd806894ae0aea5a13634
998758.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:43.954570,9eccd806894ae0aea5a13634
9987365.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:44.108899,9eccd806894ae0aea5a13634
99877.org,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:44.418365,9eccd806894ae0aea5a13634
998737.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:44.581154,9eccd806894ae0aea5a13634
99881.biz,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:44.876370,9eccd806894ae0aea5a13634
998794.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:46.407230,9eccd806894ae0aea5a13634
998784.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:46.632752,9eccd806894ae0aea5a13634
99881288.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:47.226419,9eccd806894ae0aea5a13634
99882.wang,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:47.783157,9eccd806894ae0aea5a13634
9987t.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:48.441869,9eccd806894ae0aea5a13634
99882.org,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:48.866548,9eccd806894ae0aea5a13634
99882v.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:49.317207,9eccd806894ae0aea5a13634
998761.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:49.786264,9eccd806894ae0aea5a13634
99883x.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:49.979921,9eccd806894ae0aea5a13634
99887x.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:50.260427,9eccd806894ae0aea5a13634
9988696.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:50.323601,9eccd806894ae0aea5a13634
998842.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:50.351725,9eccd806894ae0aea5a13634
99886v.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:51.655691,9eccd806894ae0aea5a13634
99889.org,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:52.112599,9eccd806894ae0aea5a13634
998906.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:52.598870,9eccd806894ae0aea5a13634
9988hth.vip,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:52.641904,9eccd806894ae0aea5a13634
9988wb.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:53.386086,9eccd806894ae0aea5a13634
99887833.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:53.673237,9eccd806894ae0aea5a13634
998917.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:54.382414,9eccd806894ae0aea5a13634
998915.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:54.431735,9eccd806894ae0aea5a13634
998926.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:55.311379,9eccd806894ae0aea5a13634
9988esb.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:55.397656,9eccd806894ae0aea5a13634
998936.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:56.195098,9eccd806894ae0aea5a13634
998932.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:56.303034,9eccd806894ae0aea5a13634
998937.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:57.079081,9eccd806894ae0aea5a13634
99893.org,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:57.214222,9eccd806894ae0aea5a13634
9989365.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:57.264505,9eccd806894ae0aea5a13634
9989788.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:57.647844,9eccd806894ae0aea5a13634
998938.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:58.094387,9eccd806894ae0aea5a13634
99897fa.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:58.218210,9eccd806894ae0aea5a13634
998965.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:58.759837,9eccd806894ae0aea5a13634
998978.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:58.922198,9eccd806894ae0aea5a13634
998eee.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:09:59.064914,9eccd806894ae0aea5a13634
998954.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:00.619779,9eccd806894ae0aea5a13634
998kongbao.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:00.974221,9eccd806894ae0aea5a13634
998k66.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:01.301493,9eccd806894ae0aea5a13634
9989qq.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:01.445131,9eccd806894ae0aea5a13634
998ctw.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:01.572351,9eccd806894ae0aea5a13634
998ruay.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:02.179921,9eccd806894ae0aea5a13634
998ole.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:02.786128,9eccd806894ae0aea5a13634
998z6.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:03.285655,9eccd806894ae0aea5a13634
998viva.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:03.450755,9eccd806894ae0aea5a13634
998tt.wang,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:04.652161,9eccd806894ae0aea5a13634
99900sc.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:05.184027,9eccd806894ae0aea5a13634
998wt.net,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:05.687130,9eccd806894ae0aea5a13634
999021.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:06.002804,9eccd806894ae0aea5a13634
999021a.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:06.529761,9eccd806894ae0aea5a13634
999021b.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:07.039949,9eccd806894ae0aea5a13634
999021c.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:07.339477,9eccd806894ae0aea5a13634
999021d.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:07.882518,9eccd806894ae0aea5a13634
999021e.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:08.409355,9eccd806894ae0aea5a13634
999021f.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:08.710743,9eccd806894ae0aea5a13634
999021g.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:09.242864,9eccd806894ae0aea5a13634
999021j.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:09.773024,9eccd806894ae0aea5a13634
999021k.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:10.053551,9eccd806894ae0aea5a13634
999021p.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:10.608398,9eccd806894ae0aea5a13634
999021t.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:11.136046,9eccd806894ae0aea5a13634
999021y.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:11.425555,9eccd806894ae0aea5a13634
999021z.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:11.967525,9eccd806894ae0aea5a13634
999051.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:13.329367,9eccd806894ae0aea5a13634
999051a.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:14.684605,9eccd806894ae0aea5a13634
999051b.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:16.049195,9eccd806894ae0aea5a13634
999051c.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:17.405834,9eccd806894ae0aea5a13634
999051d.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:18.772408,9eccd806894ae0aea5a13634
999051e.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:20.133379,9eccd806894ae0aea5a13634
999051f.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:21.468629,9eccd806894ae0aea5a13634
99902.org,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:21.829206,9eccd806894ae0aea5a13634
999051g.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:22.827087,9eccd806894ae0aea5a13634
999051j.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:23.194296,9eccd806894ae0aea5a13634
998ry.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:23.538188,9eccd806894ae0aea5a13634
999051k.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:24.183155,9eccd806894ae0aea5a13634
999051p.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:24.539373,9eccd806894ae0aea5a13634
999051t.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:24.910120,9eccd806894ae0aea5a13634
999051y.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:25.531563,9eccd806894ae0aea5a13634
999051z.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:25.895956,9eccd806894ae0aea5a13634
99911.mom,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:26.393050,9eccd806894ae0aea5a13634
99903.org,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:29.556951,9eccd806894ae0aea5a13634
99905.org,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:31.695006,9eccd806894ae0aea5a13634
99912.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:32.128568,9eccd806894ae0aea5a13634
99916.biz,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:32.421613,9eccd806894ae0aea5a13634
99917.biz,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:32.702018,9eccd806894ae0aea5a13634
999188c.com,AVAILABILITY,origin.list,origin.list,2023-10-07 05:10:32.995097,9eccd806894ae0aea5a13634
